name,population,median_home_value,median_household_income,median_age
"Alameda County, California",1663823,999200,122488,38.4
"Alpine County, California",1515,463900,101125,43.0
"Amador County, California",40577,409600,74853,49.6
"Butte County, California",213605,371600,66085,36.5
"Calaveras County, California",45674,404200,77526,52.1
"Colusa County, California",21811,360100,69619,36.0
"Contra Costa County, California",1162648,787300,120020,40.1
"Del Norte County, California",27462,282500,61149,40.0
"El Dorado County, California",191713,597600,99246,46.2
"Fresno County, California",1008280,338200,67756,32.8
"Glenn County, California",28657,295400,64033,35.8
"Humboldt County, California",136132,386000,57881,39.5
"Imperial County, California",179578,256000,53847,32.6
"Inyo County, California",18829,325900,63417,44.6
"Kern County, California",906883,282800,63883,32.2
"Kings County, California",152515,281400,68540,32.1
"Lake County, California",68024,291300,56259,44.5
"Lassen County, California",31873,233100,59515,37.2
"Los Angeles County, California",9936690,732200,83411,37.4
"Madera County, California",157243,340300,73543,34.4
"Marin County, California",260485,1291800,142019,47.4
"Mariposa County, California",17130,335900,60021,51.6
"Mendocino County, California",91145,463700,61335,43.7
"Merced County, California",282290,342300,64772,31.5
"Modoc County, California",8651,184900,54962,47.5
"Mono County, California",13219,496800,82038,40.5
"Monterey County, California",437609,683700,91043,35.1
"Napa County, California",137384,794500,105809,42.5
"Nevada County, California",102322,559700,79395,50.2
"Orange County, California",3175227,862900,109361,38.7
"Placer County, California",406608,627100,109375,42.3
"Plumas County, California",19650,310100,67885,52.3
"Riverside County, California",2429487,462900,84505,36.3
"Sacramento County, California",1579211,465900,84010,36.8
"San Benito County, California",64753,703200,104451,35.7
"San Bernardino County, California",2180563,438000,77423,33.9
"San Diego County, California",3289701,725200,96974,36.7
"San Francisco County, California",851036,1348700,136689,39.3
"San Joaquin County, California",779445,462000,82837,34.8
"San Luis Obispo County, California",281712,726700,90158,40.0
"San Mateo County, California",754250,1441300,149907,40.3
"Santa Barbara County, California",445213,714800,92332,34.3
"Santa Clara County, California",1916831,1316800,153792,37.7
"Santa Cruz County, California",268571,951300,104409,39.2
"Shasta County, California",181852,327500,68347,41.7
"Sierra County, California",2916,289400,61108,54.9
"Siskiyou County, California",44049,260200,53898,47.2
"Solano County, California",450995,549100,97037,38.8
"Sonoma County, California",488436,748500,99266,42.7
"Stanislaus County, California",552063,393300,74872,34.5
"Sutter County, California",99101,375400,72654,36.0
"Tehama County, California",65484,290400,59029,40.3
"Trinity County, California",15889,326200,47317,53.2
"Tulare County, California",473446,280900,64474,31.5
"Tuolumne County, California",54993,377700,70432,48.7
"Ventura County, California",842009,719100,102141,39.0
"Yolo County, California",217141,555200,85097,32.0
"Yuba County, California",81705,350600,66693,33.5
